INSERT INTO ATTENDANCE (reg_no, course_code, session_date, session_type, session_hours, status) VALUES
-- Week 6: September 8-12, 2025
-- Monday (ICT1233 - Theory)
('TG/2023/001', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/002', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Medical'),  
('TG/2023/003', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Absent'),  
('TG/2023/004', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/005', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/006', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/007', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/008', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/009', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/010', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Absent'),  
('TG/2023/011', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Medical'),  
('TG/2023/012', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/013', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/014', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),
('TG/2023/015', 'ICT1233', '2025-09-08', 'Theory', 2.0, 'Present'),

-- Monday (ICT1233 - Practical)
('TG/2023/001', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/002', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Medical'),  
('TG/2023/003', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/004', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/005', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/006', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Absent'),  
('TG/2023/007', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/008', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/009', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/010', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/011', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Medical'),  
('TG/2023/012', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Absent'),  
('TG/2023/013', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/014', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),
('TG/2023/015', 'ICT1233', '2025-09-08', 'Practical', 2.0, 'Present'),

-- Tuesday (ICT1242 - Theory)
('TG/2023/001', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/002', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/003', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/004', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/005', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/006', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Absent'), 
('TG/2023/007', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/008', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Medical'),  
('TG/2023/009', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Medical'),  
('TG/2023/010', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/011', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/012', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
('TG/2023/013', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Absent'), 
('TG/2023/014', 'ICT1242', '2025-09-09', 'Theory', 2.0, 'Present'),
