INSERT INTO attendance (Attendance_id, Reg_no, Course_code, Session_date, Session_type, Session_hours, Status, Medical_id) VALUES
(1, 'TG/2023/001', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(2, 'TG/2023/002', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(3, 'TG/2023/003', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Medical', 1),
(4, 'TG/2023/004', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(5, 'TG/2023/005', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(6, 'TG/2023/006', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(7, 'TG/2023/007', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Medical', 2),
(8, 'TG/2023/008', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(9, 'TG/2023/009', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(10, 'TG/2023/010', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Medical', 3),
(11, 'TG/2023/011', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(12, 'TG/2023/012', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(13, 'TG/2023/013', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(14, 'TG/2023/014', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Medical', 4),
(15, 'TG/2023/015', 'ICT1233', '2025-08-04', 'Theory', 2.0, 'Present', NULL),
(16, 'TG/2023/001', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(17, 'TG/2023/002', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(18, 'TG/2023/003', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 1),
(19, 'TG/2023/004', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(20, 'TG/2023/005', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(21, 'TG/2023/006', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 5),
(22, 'TG/2023/007', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 2),
(23, 'TG/2023/008', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(24, 'TG/2023/009', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(25, 'TG/2023/010', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 3),
(26, 'TG/2023/011', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 6),
(27, 'TG/2023/012', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(28, 'TG/2023/013', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Present', NULL),
(29, 'TG/2023/014', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 4),
(30, 'TG/2023/015', 'ICT1233', '2025-08-04', 'Practical', 2.0, 'Medical', 7),
(31, 'TG/2023/001', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(32, 'TG/2023/002', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(33, 'TG/2023/003', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(34, 'TG/2023/004', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Absent', NULL),
(35, 'TG/2023/005', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Medical', 8),
(36, 'TG/2023/006', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(37, 'TG/2023/007', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(38, 'TG/2023/008', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Medical', 9),
(39, 'TG/2023/009', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(40, 'TG/2023/010', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(41, 'TG/2023/011', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Absent', NULL),
(42, 'TG/2023/012', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Medical', 10),
(43, 'TG/2023/013', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(44, 'TG/2023/014', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(45, 'TG/2023/015', 'ICT1242', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(46, 'TG/2023/001', 'ICT1253', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(47, 'TG/2023/002', 'ICT1253', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(48, 'TG/2023/003', 'ICT1253', '2025-08-05', 'Theory', 2.0, 'Present', NULL),
(49, 'TG/2023/004', 'ICT1253', '2025-08-05', 'Theory', 2.0, 'Absent', NULL),
